feature,coef_0,coef_1,coef_2,abs_mean_coef
num__blood_pressure,1.4558144145324217,-2.800922245813552,1.3451078312811313,1.867281497209035
num__social_support,1.0647820204674194,-1.3439486232346793,0.2791666027672579,0.895965748823119
remainder__mental_health_history,0.39502965871764695,-0.5745101958370482,0.1794805371194021,0.3830067972246991
num__self_esteem,0.1903481698613657,0.2550729805313872,-0.44542115039275404,0.296947433595169
num__academic_performance,0.38710306193269073,-0.04446295338118536,-0.3426401085515053,0.2580687079551271
num__study_load,-0.36866503207869533,0.25821918296948093,0.11044584910921505,0.24577668805246378
num__teacher_student_relationship,0.20509010177417686,-0.36235992237251624,0.15726982059833963,0.24157328158167757
num__basic_needs,0.3471536518587116,-0.22981802290675316,-0.11733562895196002,0.23143576790580825
num__headache,-0.22862600444509024,-0.08154969859432404,0.31017570303941466,0.2067838020262763
num__sleep_quality,0.15003870706002087,0.06829457721875061,-0.21833328427877274,0.14555552285251475
