feature,coef_0,coef_1,coef_2,abs_mean_coef
num__blood_pressure,1.4929835027341043,-2.832380971395966,1.3393974686618624,1.8882539809306442
num__social_support,1.0909451652780644,-1.3592880568814967,0.2683428916034337,0.9061920379209982
remainder__mental_health_history,0.3992267749393864,-0.6126334097252473,0.21340663478586164,0.40842227315016516
num__self_esteem,0.1898142083214214,0.2643985010131544,-0.45421270933457547,0.3028084728897171
num__academic_performance,0.3904376740767839,-0.05034115974302823,-0.34009651433375504,0.26029178271785575
num__study_load,-0.37006292328750773,0.25998327886100314,0.1100796444265044,0.24670861552500511
num__basic_needs,0.3539260077336408,-0.24846610666423155,-0.10545990106940975,0.23595067182242735
num__teacher_student_relationship,0.20693852910748461,-0.3459314875203385,0.13899295841285447,0.23062099168022585
num__headache,-0.24039012006718874,-0.07295399634427745,0.3133441164114662,0.20889607760764414
num__sleep_quality,0.15488493162473604,0.07758772095182123,-0.23247265257655653,0.15498176838437128
