feature,importance
num__blood_pressure,0.10740914771044918
num__sleep_quality,0.08544576764017998
num__teacher_student_relationship,0.08365025268447375
num__academic_performance,0.07138354829931957
num__depression,0.06906792349567671
num__social_support,0.06211933719364764
num__extracurricular_activities,0.05906349519042235
num__bullying,0.05714809516698165
num__headache,0.053571967612111276
num__peer_pressure,0.0535349636385343
num__future_career_concerns,0.05071724038593446
num__anxiety_level,0.05037430568734284
num__safety,0.04970076656758825
num__self_esteem,0.044950936233310014
num__basic_needs,0.04026207124936472
